CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
KN-224,,,,CP03ISSM-MFC31-00-CPMENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000568,40.36222,-70.87862,,,,
KN-224,,,,CP03ISSM-MFD35-00-DCLENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000573,40.36222,-70.87862,,,,
KN-224,,,,CP03ISSM-MFD35-01-ADCPTF000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00205,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD35-02-PRESFB000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00761,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD35-04-VELPTA000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00417,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD35-05-PCO2WB000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00465,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD35-06-PHSEND000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00097,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD37-00-DCLENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000574,40.36222,-70.87862,,,,
KN-224,,,,CP03ISSM-MFD37-01-OPTAAD000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00572,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD37-03-CTDBPD000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00083,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD37-04-DOSTAD000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00896,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-MFD37-07-ZPLSCC000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A01107,40.36222,-70.87862,,91.5,,nominal_depth
KN-224,,,,CP03ISSM-RIC21-00-CPMENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000567,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID26-00-DCLENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000571,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID26-04-VELPTA000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00415,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID26-06-PHSEND000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00264,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID26-07-NUTNRB000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00879,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID26-08-SPKIRB000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00407,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID27-00-DCLENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000572,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID27-01-OPTAAD000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A01065,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID27-02-FLORTD000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00424,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID27-03-CTDBPC000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00698,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-RID27-04-DOSTAD000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00895,40.36222,-70.87862,,7.0,,nominal_depth
KN-224,,,,CP03ISSM-SBC11-00-CPMENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000566,40.36222,-70.87862,,0.0,,nominal_depth
KN-224,,,,CP03ISSM-SBD11-00-DCLENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000569,40.36222,-70.87862,,0.0,,nominal_depth
KN-224,,,,CP03ISSM-SBD11-01-MOPAK0000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000563,40.36222,-70.87862,,0.0,,nominal_depth
KN-224,,,,CP03ISSM-SBD11-02-HYDGN0000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000564,40.36222,-70.87862,,0.0,,nominal_depth
KN-224,,,,CP03ISSM-SBD11-06-METBKA000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,N00755,40.36222,-70.87862,,-3.0,,nominal_depth
KN-224,,,,CP03ISSM-SBD12-00-DCLENG000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000570,40.36222,-70.87862,,0.0,,nominal_depth
KN-224,,,,CP03ISSM-SBD12-03-HYDGN0000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,OL000565,40.36222,-70.87862,,0.0,,nominal_depth
KN-224,,,,CP03ISSM-SBD12-04-PCO2AA000,1,1,2014-12-14T18:53:00,2014-12-30T00:00:00,N00241,,A00438,40.36222,-70.87862,,0.0,,nominal_depth
AT-27,,AT-31,,CP03ISSM-MFC31-00-CPMENG000,2,1,2015-05-09T00:57:00,2015-10-30T00:00:00,N00242,,R00017,40.35945,-70.88528,,,,
AT-27,,AT-31,,CP03ISSM-MFD35-00-DCLENG000,2,1,2015-05-09T00:57:00,2015-10-30T00:00:00,N00242,,R00022,40.35945,-70.88528,,,,
AT-27,,AT-31,,CP03ISSM-MFD35-01-ADCPTF000,2,1,2015-05-09T00:57:00,2015-10-30T00:00:00,N00242,,A00072,40.35945,-70.88528,,91.5,,nominal_depth
AT-27,,AT-31,,CP03ISSM-MFD35-02-PRESFB000,2,1,2015-05-09T00:57:00,2015-10-30T00:00:00,N00242,,A00051,40.35945,-70.88528,,91.5,,nominal_depth
AT-27,,AT-31,,CP03ISSM-MFD35-04-VELPTA000,2,1,2015-05-09T00:57:00,2015-10-30T00:00:00,N00242,,A01068,40.35945,-70.88528,,91.5,,nominal_depth
