CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth,notes
AT-26-29,,,,GS03FLMB-RIM01-00-SIOENG000,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,OL000081,-54.0803,-88.9346,,1510.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-ADCPSL007,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,N00506,-54.0803,-88.9346,,500.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG060,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A01516,-54.0803,-88.9346,,30.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG061,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00929,-54.0803,-88.9346,,40.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG062,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00921,-54.0803,-88.9346,,60.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG063,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00920,-54.0803,-88.9346,,90.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG064,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00934,-54.0803,-88.9346,,130.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG065,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00930,-54.0803,-88.9346,,180.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG066,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00941,-54.0803,-88.9346,,250.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG067,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00931,-54.0803,-88.9346,,350.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOG068,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00932,-54.0803,-88.9346,,500.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOH069,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00957,-54.0803,-88.9346,,750.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOH070,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00956,-54.0803,-88.9346,,1000.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIM01-02-CTDMOH071,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00959,-54.0803,-88.9346,,1500.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIS01-00-SIOENG000,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,OL000082,-54.0803,-88.9346,,30.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIS01-03-DOSTAD000,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00900,-54.0803,-88.9346,,30.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIS01-04-PHSENF000,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A00973,-54.0803,-88.9346,,30.0,nominal_depth
AT-26-29,,,,GS03FLMB-RIS01-05-FLORTD000,1,1,2015-02-23T20:19:00,2015-12-19T00:00:00,N00259,,A01498,-54.0803,-88.9346,,30.0,nominal_depth
