CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
TN-313,,,,CE04OSPD-DP01B-00-ENG000000,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-71403-00004,,ATAPL-71553-00203,44.36831,-124.95276,,,582,
TN-313,,,,CE04OSPD-DP01B-01-CTDPFL105,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-71403-00004,,ATAPL-67977-00003,44.36831,-124.95276,,,582,
TN-313,,,,CE04OSPD-DP01B-02-VEL3DA105,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-71403-00004,,ATAPL-58346-00003,44.36831,-124.95276,,,582,
TN-313,,,,CE04OSPD-DP01B-03-FLCDRA103,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-71403-00004,,ATAPL-70111-00003,44.36831,-124.95276,,,582,
TN-313,,,,CE04OSPD-DP01B-04-FLNTUA103,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-71403-00004,,ATAPL-70110-00003,44.36831,-124.95276,,,582,
TN-313,,,,CE04OSPD-DP01B-06-DOSTAD105,1,1,2014-08-16T23:30:00,2015-07-23T00:00:00,ATAPL-71403-00004,,ATOSU-58320-00008,44.36831,-124.95276,,,582,
TN-326,,,,CE04OSPD-DP01B-00-ENG000000,2,1,2015-07-24T19:50:00,,ATAPL-71403-00005,,ATAPL-71553-00203,44.36829,-124.9528,,,582,
TN-326,,,,CE04OSPD-DP01B-01-CTDPFL105,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-71403-00005,,ATOSU-67977-00006,44.36829,-124.9528,,,582,
TN-326,,,,CE04OSPD-DP01B-02-VEL3DA105,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-71403-00005,,ATOSU-58346-00007,44.36829,-124.9528,,,582,
TN-326,,,,CE04OSPD-DP01B-03-FLCDRA103,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-71403-00005,,ATOSU-70111-00006,44.36829,-124.9528,,,582,
TN-326,,,,CE04OSPD-DP01B-04-FLNTUA103,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-71403-00005,,ATOSU-70110-00006,44.36829,-124.9528,,,582,
TN-326,,,,CE04OSPD-DP01B-06-DOSTAD105,2,1,2015-07-24T19:50:00,2016-08-07T00:00:00,ATAPL-71403-00005,,ATOSU-58320-00018,44.36829,-124.9528,,,582,
SKQ201610S,,,,CE04OSPD-DP01B-01-CTDPFL105,3,1,2016-08-07T03:50:00,2018-07-23T00:00:00,ATAPL-71403-00005,,ATOSU-67977-00007,44.36829,-124.9528,,,583,
SKQ201610S,,,,CE04OSPD-DP01B-02-VEL3DA105,3,1,2016-08-07T03:50:00,2018-07-23T00:00:00,ATAPL-71403-00005,,ATOSU-58346-00008,44.36829,-124.9528,,,583,
SKQ201610S,,,,CE04OSPD-DP01B-03-FLCDRA103,3,1,2016-08-07T03:50:00,2018-07-23T00:00:00,ATAPL-71403-00005,,ATAPL-70111-00003,44.36829,-124.9528,,,583,
SKQ201610S,,,,CE04OSPD-DP01B-04-FLNTUA103,3,1,2016-08-07T03:50:00,2018-07-23T00:00:00,ATAPL-71403-00005,,ATAPL-70110-00003,44.36829,-124.9528,,,583,
SKQ201610S,,,,CE04OSPD-DP01B-06-DOSTAD105,3,1,2016-08-07T03:50:00,2018-07-23T00:00:00,ATAPL-71403-00005,,ATOSU-58320-00008,44.36829,-124.9528,,,583,
