CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-00-SIOENG000,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGCON-SIOCON-99706,-54.0803,-88.9346,,1505,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-ADCPSL007,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-ADCPSL-13992,-54.0803,-88.9346,,500,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG060,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12587,-54.0803,-88.9346,,27,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG061,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12377,-54.0803,-88.9346,,37,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG062,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12313,-54.0803,-88.9346,,57,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG063,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12312,-54.0803,-88.9346,,88,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG064,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12375,-54.0803,-88.9346,,128,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG065,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12332,-54.0803,-88.9346,,178,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG066,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12379,-54.0803,-88.9346,,248,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG067,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12331,-54.0803,-88.9346,,350,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOG068,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOG-12314,-54.0803,-88.9346,,500,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOH069,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOH-12393,-54.0803,-88.9346,,746,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOH070,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOH-12392,-54.0803,-88.9346,,997,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIM01-02-CTDMOH071,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-CTDMOH-12384,-54.0803,-88.9346,,1500,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIS01-00-SIOENG000,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGCON-SIOCON-99128,-54.0803,-88.9346,,27,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIS01-03-DOSTAD000,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-DOSTAD-00392,-54.0803,-88.9346,,27,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIS01-04-PHSENF000,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-PHSENF-P0144,-54.0803,-88.9346,,27,4932,
AT-26-29,,NBP-15-11,,GS03FLMB-RIS01-05-FLORTD000,1,1,2015-02-23T20:19:00,2015-12-19T18:40:00,CGMGS-03FLMB-00001,,CGINS-FLORTD-01217,-54.0803,-88.9346,,27,4932,
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-00-SIOENG000,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGCON-SIOCON-14884,-54.0824,-88.85905,,1502,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-ADCPSL007,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-ADCPSL-20504,-54.0824,-88.85905,,500,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG060,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13624,-54.0824,-88.85905,,29,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG061,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13623,-54.0824,-88.85905,,40,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG062,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13622,-54.0824,-88.85905,,60,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG063,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13608,-54.0824,-88.85905,,90,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG064,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13616,-54.0824,-88.85905,,130,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG065,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13617,-54.0824,-88.85905,,180,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG066,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13620,-54.0824,-88.85905,,250,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG067,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13621,-54.0824,-88.85905,,350,4942,Update recovery date when Quick Look report is released
NBP-15-11,,NBP16-10,,GS03FLMB-RIM01-02-CTDMOG068,2,1,2015-12-16T19:33:00,2016-12-05T00:00:00,CGMGS-03FLMB-00002,,CGINS-CTDMOG-13607,-54.0824,-88.85905,,501,4942,Update recovery date when Quick Look report is released
