CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
TN-313,,,,RS01SBPD-DP01A-00-ENG000000,1,1,2014-08-24T06:55:00,2014-09-23T00:00:00,ATAPL-71403-00002,,ATAPL-71553-00204,44.52732,-125.3801,,,2901,
TN-313,,,,RS01SBPD-DP01A-01-CTDPFL104,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-71403-00002,,ATAPL-67977-00001,44.52747,-125.38067,,,2901,
TN-313,,,,RS01SBPD-DP01A-02-VEL3DA103,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-71403-00002,,ATAPL-58346-00001,44.52747,-125.38067,,,2901,
TN-313,,,,RS01SBPD-DP01A-03-FLCDRA102,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-71403-00002,,ATAPL-70111-00001,44.52747,-125.38067,,,2901,
TN-313,,,,RS01SBPD-DP01A-04-FLNTUA102,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-71403-00002,,ATAPL-70110-00001,44.52747,-125.38067,,,2901,
TN-326,,,,RS01SBPD-DP01A-05-OPTAAC102,1,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-71403-00002,,ATAPL-69943-00004,44.52757,-125.38075,,,2901,
TN-313,,,,RS01SBPD-DP01A-06-DOSTAD104,1,1,2014-08-23T05:55:50,2014-09-22T00:00:00,ATAPL-71403-00002,,ATAPL-58320-00002,44.52747,-125.38067,,,2901,
#TN-313,,,,RS01SBPD-PD01A,1,1,2014-08-23T05:55:00,2014-09-22T00:00:00,ATAPL-71553-00002,,,44.52732,-125.3801,,,2901,
TN-326,,,,RS01SBPD-DP01A-00-ENG000000,2,1,2015-07-22T22:17:00,,ATAPL-71403-00002,,ATAPL-71553-00204,44.52747,-125.38067,,,2900,
TN-326,,,,RS01SBPD-DP01A-01-CTDPFL104,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-71403-00002,,ATAPL-67977-00004,44.52757,-125.38075,,,2900,
TN-326,,,,RS01SBPD-DP01A-02-VEL3DA103,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-71403-00002,,ATAPL-58346-00006,44.52757,-125.38075,,,2900,
TN-326,,,,RS01SBPD-DP01A-03-FLCDRA102,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-71403-00002,,ATAPL-70111-00004,44.52757,-125.38075,,,2900,
TN-326,,,,RS01SBPD-DP01A-04-FLNTUA102,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-71403-00002,,ATAPL-70110-00004,44.52757,-125.38075,,,2900,
SKQ201610S,,,,RS01SBPD-DP01A-05-OPTAAC102,2,1,2016-08-09T03:16:00,,ATAPL-71403-00002,,ATAPL-69943-00007,44.52757,-125.38075,,,2900,
TN-326,,,,RS01SBPD-DP01A-06-DOSTAD104,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-71403-00002,,ATAPL-58320-00010,44.52757,-125.38075,,,2900,
#TN-326,,,,RS01SBPD-PD01A,2,1,2015-07-22T22:17:00,,ATAPL-71553-00002,,,44.52747,-125.38067,,,2900,
SKQ201610S,,,,RS01SBPD-DP01A-01-CTDPFL104,3,1,2016-08-09T03:16:00,2018-07-25T00:00:00,ATAPL-71403-00002,,ATAPL-67977-00002,44.52757,-125.38075,,,2903,
SKQ201610S,,,,RS01SBPD-DP01A-02-VEL3DA103,3,1,2016-08-09T03:16:00,2018-07-25T00:00:00,ATAPL-71403-00002,,ATAPL-58346-00003,44.52757,-125.38075,,,2903,
SKQ201610S,,,,RS01SBPD-DP01A-03-FLCDRA102,3,1,2016-08-09T03:16:00,2018-07-25T00:00:00,ATAPL-71403-00002,,ATAPL-70111-00002,44.52757,-125.38075,,,2903,
SKQ201610S,,,,RS01SBPD-DP01A-04-FLNTUA102,3,1,2016-08-09T03:16:00,2018-07-25T00:00:00,ATAPL-71403-00002,,ATAPL-70110-00002,44.52757,-125.38075,,,2903,
SKQ201610S,,,,RS01SBPD-DP01A-06-DOSTAD104,3,1,2016-08-09T03:16:00,2018-07-25T00:00:00,ATAPL-71403-00002,,ATAPL-58320-00001,44.52757,-125.38075,,,2903,
RR1812,,,,RS01SBPD-DP01A-01-CTDPFL104,4,1,2018-07-25T00:00:00,2019-07-02T07:46:00,ATAPL-71403-00002,,ATAPL-67977-00003,44.52757,-125.38075,,,2903,
RR1812,,,,RS01SBPD-DP01A-02-VEL3DA103,4,1,2018-07-25T00:00:00,2019-07-02T07:46:00,ATAPL-71403-00002,,ATOSU-58346-00007,44.52757,-125.38075,,,2903,
