CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
TN-313,,,,CE02SHBP-LJ01D-05-ADCPTB104,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-69826-00001,44.637,-124.30587,,80,80,
TN-313,,,,CE02SHBP-LJ01D-06-CTDBPN106,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-69827-00003,44.637,-124.30587,,80,80,
TN-313,,,,CE02SHBP-LJ01D-06-DOSTAD106,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-58320-00020,44.637,-124.30587,,80,80,
TN-313,,,,CE02SHBP-LJ01D-07-VEL3DC108,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-69829-00003,44.637,-124.30587,,80,80,
TN-313,,,,CE02SHBP-LJ01D-08-OPTAAD106,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-58332-00009,44.637,-124.30587,,80,80,
TN-313,,,,CE02SHBP-LJ01D-09-PCO2WB103,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-70570-00001,44.637,-124.30587,,80,80,
TN-313,,,,CE02SHBP-LJ01D-10-PHSEND103,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-70571-00001,44.637,-124.30587,,80,80,
TN-313,,,,CE02SHBP-LJ01D-11-HYDBBA106,1,1,2014-09-10T15:43:00,2015-08-01T00:00:00,ATAPL-65310-040-0006,,ATOSU-58324-00014,44.637,-124.30587,,81,81,
TN-313,,,,CE02SHBP-MJ01C-07-ZPLSCB101,1,1,2014-09-22T09:52:00,2015-08-01T00:00:00,ATAPL-65244-030-0025,,ATOSU-63259-00004,44.63739,-124.30554,,81,81,
TN-313,,,,CE02SHBP-MJ01C-08-CAMDSB107,1,1,2014-09-10T19:12:00,2015-08-01T00:00:00,ATAPL-65244-030-0025,,ATOSU-58317-00007,44.63723,-124.30551,,80,80,
TN-326,,,,CE02SHBP-LJ01D-05-ADCPTB104,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-69826-00002,44.63708,-124.30595,,80,80,
TN-326,,,,CE02SHBP-LJ01D-06-CTDBPN106,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-69827-00002,44.63708,-124.30595,,80,80,
TN-326,,,,CE02SHBP-LJ01D-06-DOSTAD106,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-58320-00019,44.63708,-124.30595,,80,80,
TN-326,,,,CE02SHBP-LJ01D-07-VEL3DC108,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-69829-00001,44.63708,-124.30595,,80,80,
TN-326,,,,CE02SHBP-LJ01D-08-OPTAAD106,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-58332-00008,44.63708,-124.30595,,80,80,
TN-326,,,,CE02SHBP-LJ01D-09-PCO2WB103,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-70570-00004,44.63708,-124.30595,,80,80,
TN-326,,,,CE02SHBP-LJ01D-10-PHSEND103,2,1,2015-08-02T05:30:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-70571-00004,44.63708,-124.30595,,80,80,
TN-326,,,,CE02SHBP-LJ01D-11-HYDBBA106,2,1,2015-08-02T05:47:00,2016-07-21T00:00:00,ATAPL-65310-820-0009,,ATOSU-58324-00012,44.63704,-124.30586,,81,81,
TN-326,,,,CE02SHBP-MJ01C-07-ZPLSCB101,2,1,2015-08-02T18:12:00,2016-07-21T00:00:00,ATAPL-65244-030-0025,,ATOSU-63259-00003,44.63739,-124.30547,,81,81,
TN-326,,,,CE02SHBP-MJ01C-08-CAMDSB107,2,1,2015-08-02T12:40:00,2016-07-21T00:00:00,ATAPL-65244-030-0025,,ATAPL-58317-00006,44.6373,-124.30549,,80,80,
TN-326,,,,CE02SHBP-MJ01C-00-ENG,2,1,2015-08-02T12:40:00,,ATAPL-65244-030-0025,,CE02SHBP-MJ01C-00-ENG,44.6373,-124.30549,,80,80,
TN-326,,,,CE02SHBP-MJ01C-05-IP1,2,1,2015-08-02T12:40:00,,ATAPL-65244-030-0025,,CE02SHBP-MJ01C-05-IP1,44.6373,-124.30549,,80,80,
TN-326,,,,CE02SHBP-MJ01C-06-IP2,2,1,2015-08-02T12:40:00,,ATAPL-65244-030-0025,,CE02SHBP-MJ01C-06-IP2,44.6373,-124.30549,,80,80,
TN-326,,,,CE02SHBP-MJ01C-07-IP3,2,1,2015-08-02T12:40:00,,ATAPL-65244-030-0025,,CE02SHBP-MJ01C-07-IP3,44.6373,-124.30549,,80,80,
TN-326,,,,CE02SHBP-MJ01C-08-IP4,2,1,2015-08-02T12:40:00,,ATAPL-65244-030-0025,,CE02SHBP-MJ01C-08-IP4,44.6373,-124.30549,,80,80,
