CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-29,,,,GS01SUMO-RID16-00-DCLENG000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00065,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-01-OPTAAD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01139,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-02-FLORTD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00993,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-03-CTDBPF000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01092,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-04-VELPTA000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01071,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-05-PCO2WB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00387,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-06-DOSTAD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00890,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-07-NUTNRB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00383,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RID16-08-SPKIRB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01494,-54.40833,-89.3575,,12,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-RII11-02-ADCPSN010,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00655,-54.40833,-89.3575,,500,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ011,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00884,-54.40833,-89.3575,,20,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ012,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00886,-54.40833,-89.3575,,60,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ013,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00887,-54.40833,-89.3575,,100,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ014,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01114,-54.40833,-89.3575,,180,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ015,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01115,-54.40833,-89.3575,,250,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ016,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01116,-54.40833,-89.3575,,350,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ017,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01117,-54.40833,-89.3575,,500,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ031,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00885,-54.40833,-89.3575,,40,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOQ033,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01113,-54.40833,-89.3575,,130,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOR018,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01127,-54.40833,-89.3575,,750,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOR019,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01126,-54.40833,-89.3575,,1000,4611,
AT-26-29,,,,GS01SUMO-RII11-02-CTDMOR020,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01125,-54.40833,-89.3575,,1500,4611,
AT-26-29,,,,GS01SUMO-RII11-02-PCO2WC051,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01155,-54.40833,-89.3575,,40,4611,
AT-26-29,,,,GS01SUMO-RII11-02-PCO2WC053,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01182,-54.40833,-89.3575,,130,4611,
AT-26-29,,,,GS01SUMO-RII11-02-PHSENE041,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00897,-54.40833,-89.3575,,20,4611,
AT-26-29,,,,GS01SUMO-SBC11-00-CPMENG000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00061,-54.40833,-89.3575,,0,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD11-00-DCLENG000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00063,-54.40833,-89.3575,,0,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD11-01-MOPAK0000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00055,-54.40833,-89.3575,,0,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD11-03-HYDGN0000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00056,-54.40833,-89.3575,,0,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD11-04-DOSTAD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00865,-54.40833,-89.3575,,1,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD11-05-SPKIRB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00857,-54.40833,-89.3575,,-5,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD11-06-METBKA000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00058,-54.40833,-89.3575,,-5,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD11-08-NUTNRB000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00878,-54.40833,-89.3575,,1,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD12-00-DCLENG000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00064,-54.40833,-89.3575,,0,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD12-01-OPTAAD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A01112,-54.40833,-89.3575,,1,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD12-02-FLORTD000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,A00992,-54.40833,-89.3575,,1,4611,deployment_depth placeholder: design depth
AT-26-29,,,,GS01SUMO-SBD12-03-HYDGN0000,1,1,2015-02-18T21:06:00,2015-12-27T00:00:00,CGMGS-01SUMO-00001,,R00057,-54.40833,-89.3575,,0,4611,deployment_depth placeholder: design depth
