CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-26-30,,,,GA02HYPM-RIM01-00-SIOENG000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,OL000005,-42.98167,-42.4985,,5032,5200,
AT-26-30,,,,GA02HYPM-RIM01-02-CTDMOG039,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,A00945,-42.98167,-42.4985,,161,5200,
AT-26-30,,,,GA02HYPM-WFP02-00-WFPENG000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,A01081.1,-42.98167,-42.4985,,2571,5200,shallow depth = 166
AT-26-30,,,,GA02HYPM-WFP02-01-FLORDL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00129,-42.98167,-42.4985,,2571,5200,shallow depth = 166
AT-26-30,,,,GA02HYPM-WFP02-03-DOSTAL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00128,-42.98167,-42.4985,,2571,5200,shallow depth = 166
AT-26-30,,,,GA02HYPM-WFP02-04-CTDPFL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00127,-42.98167,-42.4985,,2571,5200,shallow depth = 166
AT-26-30,,,,GA02HYPM-WFP02-05-VEL3DL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00130,-42.98167,-42.4985,,2571,5200,shallow depth = 166
AT-26-30,,,,GA02HYPM-WFP03-00-WFPENG000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,A01082.1,-42.98167,-42.4985,,5021,5200,shallow depth = 2615
AT-26-30,,,,GA02HYPM-WFP03-01-FLORDL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00168,-42.98167,-42.4985,,5021,5200,shallow depth = 2615
AT-26-30,,,,GA02HYPM-WFP03-03-DOSTAL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00167,-42.98167,-42.4985,,5021,5200,shallow depth = 2615
AT-26-30,,,,GA02HYPM-WFP03-04-CTDPFL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00166,-42.98167,-42.4985,,5021,5200,shallow depth = 2615
AT-26-30,,,,GA02HYPM-WFP03-05-VEL3DL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,CGMGA-02HYPM-00001,,N00169,-42.98167,-42.4985,,5021,5200,shallow depth = 2615
NBP-15-10,,,,GA02HYPM-RIM01-00-SIOENG000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000059,-42.98083,-42.54192,,5034,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-RIM01-02-CTDMOG039,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,A01561,-42.98083,-42.54192,,164,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP02-00-WFPENG000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000057.1,-42.98083,-42.54192,,2573,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP02-01-FLORDL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000049,-42.98083,-42.54192,,2573,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP02-03-DOSTAL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000050,-42.98083,-42.54192,,2573,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP02-04-CTDPFL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000051,-42.98083,-42.54192,,2573,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP02-05-VEL3DL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000053,-42.98083,-42.54192,,2573,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP03-00-WFPENG000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000058.1,-42.98083,-42.54192,,5023,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP03-01-FLORDL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000052,-42.98083,-42.54192,,5023,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP03-03-DOSTAL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000054,-42.98083,-42.54192,,5023,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP03-04-CTDPFL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000055,-42.98083,-42.54192,,5023,5196,deployment_depth placeholder: design depth
NBP-15-10,,,,GA02HYPM-WFP03-05-VEL3DL000,2,1,2015-11-16T18:36:00,,CGMGA-02HYPM-00002,,OL000056,-42.98083,-42.54192,,5023,5196,deployment_depth placeholder: design depth
