deploymentNumber,Reference Designator,sensor.uid,startDateTime,stopDateTime,lat,lon,mooring.uid,CUID_Deploy,node.uid,versionNumber,deployedBy,CUID_Recover,recoveredBy,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
1,CE09OSSM-MFC31-00-CPMENG000,OL000450,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD35-00-DCLENG000,OL000455,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD35-01-VEL3DD000,CGINS-VEL3DD-11710,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD35-02-PRESFC000,CGINS-PRESFC-01385,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD35-04-ADCPSJ000,CGINS-ADCPSJ-18978,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0084,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0122,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD37-00-DCLENG000,OL000456,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD37-01-OPTAAC000,CGINS-OPTAAC-00142,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD37-03-CTDBPE000,CGINS-CTDBPE-50005,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD37-03-DOSTAD000,CGINS-DOSTAD-00222,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,,,
1,CE09OSSM-MFD37-06-CAMDSA000,CGINS-CAMDSA-00109,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-MFD37-07-ZPLSCC000,CGINS-ZPLSCC-55079,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,542,542,nominal_depth,,
1,CE09OSSM-RIC21-00-CPMENG000,OL000449,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,7,542,nominal_depth,,
1,CE09OSSM-RID26-00-DCLENG000,OL000453,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,7,542,nominal_depth,,
1,CE09OSSM-RID26-01-ADCPTC000,CGINS-ADCPTC-17122,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,7,542,nominal_depth,,
1,CE09OSSM-RID26-04-VELPTA000,CGINS-VELPTA-11790,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,7,542,nominal_depth,,
1,CE09OSSM-RID26-06-PHSEND000,CGINS-PHSEND-P0119,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,7,542,nominal_depth,,
1,CE09OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00263,2015-04-09T17:30:00,2015-09-25T18:00:00,46.85385,-124.95838,CGMCE-09OSSM-00001,OC1503D,,1,,,,,7,542,nominal_depth,,
