CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
SI20170418,,SI20170418,,CP05MOAS-PG564-00-ENG000000,1,1,2017-04-20T01:03:00,2017-04-20T17:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGCON-GLDRCP-00564,40.02767,-70.49288,,200,200,ISPM,,
SI20170418,,SI20170418,,CP05MOAS-PG564-01-CTDGVM000,1,1,2017-04-20T01:03:00,2017-04-20T17:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-CTDGVM-09286,40.02767,-70.49288,,200,200,ISPM,,
SI20170418,,SI20170418,,CP05MOAS-PG564-02-DOSTAM000,1,1,2017-04-20T01:03:00,2017-04-20T17:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-DOSTAM-00432,40.02767,-70.49288,,200,200,ISPM,,
SI20170418,,SI20170418,,CP05MOAS-PG564-03-FLORTM000,1,1,2017-04-20T01:03:00,2017-04-20T17:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTM-03814,40.02767,-70.49288,,200,200,ISPM,,
SI20170418,,SI20170418,,CP05MOAS-PG564-04-FLORTO000,1,1,2017-04-20T01:03:00,2017-04-20T17:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTO-01331,40.02767,-70.49288,,200,200,ISPM,,
SI20170418,,SI20170418,,CP05MOAS-PG564-05-NUTNRM000,1,1,2017-04-20T01:03:00,2017-04-20T17:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-NUTNRM-00657,40.02767,-70.49288,,200,200,ISPM,,
SI20170418,,SI20170418,,CP05MOAS-PG564-06-PARADM000,1,1,2017-04-20T01:03:00,2017-04-20T17:50:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-PARADM-50199,40.02767,-70.49288,,200,200,ISPM,,
WJ20170815,,TA20171007,,CP05MOAS-PG564-00-ENG000000,2,1,2017-08-17T10:20:00,2017-10-07T15:26:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGCON-GLDRCP-00564,40.02335,-70.88022,,200,200,CNPM,,
WJ20170815,,TA20171007,,CP05MOAS-PG564-01-CTDGVM000,2,1,2017-08-17T10:20:00,2017-10-07T15:26:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-CTDGVM-09286,40.02335,-70.88022,,200,200,CNPM,,
WJ20170815,,TA20171007,,CP05MOAS-PG564-02-DOSTAM000,2,1,2017-08-17T10:20:00,2017-10-07T15:26:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-DOSTAM-00432,40.02335,-70.88022,,200,200,CNPM,,
WJ20170815,,TA20171007,,CP05MOAS-PG564-03-FLORTM000,2,1,2017-08-17T10:20:00,2017-10-07T15:26:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTM-03814,40.02335,-70.88022,,200,200,CNPM,,
WJ20170815,,TA20171007,,CP05MOAS-PG564-04-FLORTO000,2,1,2017-08-17T10:20:00,2017-10-07T15:26:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTO-01331,40.02335,-70.88022,,200,200,CNPM,,
WJ20170815,,TA20171007,,CP05MOAS-PG564-05-NUTNRM000,2,1,2017-08-17T10:20:00,2017-10-07T15:26:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-NUTNRM-00657,40.02335,-70.88022,,200,200,CNPM,,
WJ20170815,,TA20171007,,CP05MOAS-PG564-06-PARADM000,2,1,2017-08-17T10:20:00,2017-10-07T15:26:00,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-PARADM-50199,40.02335,-70.88022,,200,200,CNPM,,
AR52,,,,CP05MOAS-PG564-00-ENG000000,3,1,,,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGCON-GLDRCP-00564,,,,200,200,,,
AR52,,,,CP05MOAS-PG564-01-CTDGVM000,3,1,,,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-CTDGVM-09295,,,,200,200,,,
AR52,,,,CP05MOAS-PG564-02-DOSTAM000,3,1,,,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-DOSTAM-00432,,,,200,200,,,
AR52,,,,CP05MOAS-PG564-03-FLORTM000,3,1,,,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTM-04089,,,,200,200,,,
AR52,,,,CP05MOAS-PG564-04-FLORTO000,3,1,,,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTO-01347,,,,200,200,,,
AR52,,,,CP05MOAS-PG564-05-NUTNRM000,3,1,,,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-NUTNRM-00662,,,,200,200,,,
AR52,,,,CP05MOAS-PG564-06-PARADM000,3,1,,,CGVCP-05MOAS-00000,CGVEH-GLDRCP-00564,CGINS-PARADM-50202,,,,200,200,,,
