CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
KN-221-4,,,,GI03FLMB-RI000-00-CTDMOH000,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00874,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RI000-00-CTDMOH100,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00868,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RI000-00-CTDMOH400,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00869,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RI000-00-CTDMOH700,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00876,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RI000-00-VELPTB000,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,N00516,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RI000-00-VELPTB100,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,N00519,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RI000-00-VELPTB400,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,N00518,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RI000-00-VELPTB700,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,N00517,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-00-SIOENG000,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,OL000023,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-ADCPSL007,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00077,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG060,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00677,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG061,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00667,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG062,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00910,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG063,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00683,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG064,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00672,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG065,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00682,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG066,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00911,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG067,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00671,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOG068,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00670,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOH069,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00689,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOH070,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00687,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIM01-02-CTDMOH071,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00873,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIS01-00-SIOENG000,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,OL000022,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIS01-03-DOSTAD000,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00176,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIS01-04-PHSENF000,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00468,59.71267,-39.23017,,2825
KN-221-4,,,,GI03FLMB-RIS01-05-FLORTD000,1,1,2014-09-16T13:24:00,2015-08-20T00:00:00,N00226,,A00421,59.71267,-39.23017,,2825
