CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT-26-30,,,,GA02HYPM-RIM01-00-SIOENG000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,OL000005,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-RIM01-02-CTDMOG039,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,A00945,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP02-00-WFPENG000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,A01081.1,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP02-01-FLORDL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00129,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP02-03-DOSTAL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00128,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP02-04-CTDPFL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00127,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP02-05-VEL3DL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00130,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP03-00-WFPENG000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,A01082.1,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP03-01-FLORDL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00168,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP03-03-DOSTAL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00167,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP03-04-CTDPFL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00166,-42.98167,-42.4985,,
AT-26-30,,,,GA02HYPM-WFP03-05-VEL3DL000,1,1,2015-03-16T19:00:00,2015-11-15T00:00:00,N00217,,N00169,-42.98167,-42.4985,,
