serial,name,value,notes
16-50031,CC_a0,0.001293355,
16-50031,CC_a1,0.0002678091,
16-50031,CC_a2,-7.893826e-07,
16-50031,CC_a3,1.670725e-07,
16-50031,CC_cpcor,-9.57e-08,
16-50031,CC_ctcor,3.25e-06,
16-50031,CC_g,-0.9741432,
16-50031,CC_h,0.135903,
16-50031,CC_i,-0.0001472313,
16-50031,CC_j,2.926851e-05,
16-50031,CC_pa0,0.5415377,
16-50031,CC_pa1,0.0156661,
16-50031,CC_pa2,-6.508695e-10,
16-50031,CC_ptca0,524534.8,
16-50031,CC_ptca1,2.287727,
16-50031,CC_ptca2,-0.02299255,
16-50031,CC_ptcb0,25.04512,
16-50031,CC_ptcb1,0.000425,
16-50031,CC_ptcb2,0,
16-50031,CC_ptempa0,-64.84805,
16-50031,CC_ptempa1,51.56669,
16-50031,CC_ptempa2,0.05728414,
16-50031,CC_offset,0,
