CUID,ShipName,cruiseStartDateTime,cruiseStopDateTime,notes
AR-04,R/V Neil Armstrong,2016-05-12T00:00:00,2016-06-02T23:59:59,Pioneer 6 (rvdata)
AR1-07,R/V Neil Armstrong,2016-03-31T00:00:00,2016-04-06T23:59:59,Pioneer (rvdata)
AR-07-01,R/V Neil Armstrong,2016-06-30T00:00:00,2016-07-26T23:59:59,Irminger 3 & Pioneer (rvdata)
AR-08A,R/V Neil Armstrong ,2016-09-27T00:00:00,2016-10-05T23:59:59,Pioneer 7 Leg 1 (...rvdata)
AR-08B,R/V Neil Armstrong ,2016-10-10T00:00:00,2016-10-16T23:59:59,Pioneer 7 Leg 2
AR-03,R/V Neil Armstrong ,2016-05-02T00:00:00,2016-05-09T23:59:59,Pioneer (rvdata)
AT-27,R/V Atlantis,2015-04-28T00:00:00,2015-05-14T23:59:59,Pioneer 4 (rvdata)
AT-31,R/V Atlantis,2015-10-11T00:00:00,2015-10-31T23:59:59,Pioneer 5 (rvdata)
AT-26-29,R/V Atlantis,2015-02-12T00:00:00,2015-03-05T23:59:59,Southern Ocean 1 (rvdata)
AT-26-30,R/V Atlantis,2015-03-08T00:00:00,2015-03-26T23:59:59,Argentine Basin 1 (rvdata)
AT-30-01,R/V Atlantis,2015-08-05T00:00:00,2015-09-01T23:59:59,Irminger 2 (rvdata)
EK-1503,R/V Elakha,2015-03-18T00:00:00,2015-03-18T23:59:59,Endurance CE02SHSP
EK-1506,R/V Elakha,2015-06-23T00:00:00,2015-06-23T23:59:59,Endurance CE01ISSP
EK-1507,R/V Elakha,2015-07-17T00:00:00,2015-07-17T23:59:59,Endurance CE01ISSP
EK-1508,R/V Elakha,2015-08-21T00:00:00,2015-08-22T23:59:59,Endurance CE06ISSP CE07SHSP
EK-1608,R/V Elakha,2016-08-23T00:00:00,2016-08-23T23:59:59,Endurance CE02SHSP
EK-1701,R/V Elakha,2017-01-31T18:30:00,2017-01-31T22:40:00,Endurance GL info
EK-1704,R/V Elakha,2017-04-26T12:00:00,2017-04-26T23:59:59,CE02SHSP_00006 recovery
EK-1708A,R/V Elakha,2017-08-25T15:46:00,2017-08-25T20:59:00,CE02SHSP_00007 deployment
EK-1801A,R/V Elakha,2018-01-03T00:00:00,2018-01-03T00:00:00,CSPP and Glider operations
JR-1607,R/V Jack Robertson,2016-07-20T00:00:00,2016-07-20T23:59:59,Endurance CE06ISSP
KN-214,R/V Knorr,2013-11-20T00:00:00,2013-11-26T23:59:59,Pioneer 1 (rvdata)
KN-217,R/V Knorr,2014-04-7T00:00:00,2014-04-19T23:59:59,Pioneer 2 (rvdata)
KN-222,R/V Knorr,2014-10-03T00:00:00,2014-10-11T23:59:59,Pioneer 3 (rvdata)
KN-224,R/V Knorr,2014-12-10T00:00:00,2014-12-16T23:59:59,Pioneer 3 leg 2 (rvdata)
KN-221-4,R/V Knorr,2014-09-07T00:00:00,2014-09-28T23:59:59,Irminger 1 (rvdata)
ML-1507,Miss Linda,2015-07-08T00:00:00,2015-07-08T23:59:59,Endurance CE06ISSP
ML-1707,Miss Linda,2017-07-18T14:37:00,2017-07-20T00:30:00,Endurance CE01ISSP_00008
ML-1706A,Miss Linda,2017-06-27T15:00:00,2017-06-28T09:30:00,Endurance CSPPs & Gliders
CE-1707,R/V Centennial,2017-07-23T12:30:00,2017-07-26T02:30:00,Endurance CE06ISSP_00008
MV-1309,R/V Melville,2013-07-15T00:00:00,2013-07-30T23:59:59,Papa 1 (rvdata)
MV-1404,R/V Melville,2014-06-10T00:00:00,2014-06-29T23:59:59,Papa 2 (rvdata)
NBP-15-10,R/V Nathaniel B. Palmer,2015-11-07T00:00:00,2015-12-03T23:59:59,Argentine Basin 2 (rvdata)
NBP-15-11,R/V Nathaniel B. Palmer,2015-12-07T00:00:00,2016-01-04T23:59:59,Southern Ocean 2 (rvdata)
OC1404B,R/V Oceanus,2014-04-15T00:00:00,2014-04-21T23:59:59,Endurance 1 (rvdata)
OC1410A,R/V Oceanus,2014-10-06T00:00:00,2014-10-10T23:59:59,Endurance 2 (rvdata)
OC1503D,R/V Oceanus,2015-04-02T00:00:00,2015-04-12T23:59:59,Endurance 3a (rvdata)
OC1510A,R/V Oceanus,2015-10-07T00:00:00,2015-10-18T23:59:59,Endurance 4b (rvdata)
OC1508C,R/V Oceanus,2015-08-13T21:38:00,2015-08-22T21:38:00,Endurance GL info (rvdata)
OC1601,R/V Oceanus,2016-01-22T20:45:00,2016-01-22T21:40:00,Endurance GL info (...rvdata)
OC1602,R/V Oceanus,2016-02-17T16:55:00,2016-02-17T16:55:00,Endurance GL info (...rvdata)
PS1702A,R/V Pacific Storm,2017-02-13T17:29:00,2017-02-13T23:20:00,deployed CE02SHSP-00005 and Glider 381
PS1506A,R/V Pacific Storm & R/V Elakha ,2015-06-03T00:00:00,2015-06-03T23:59:59,Endurance 3b
PS1605,R/V Pacific Storm,2016-05-27T20:50:00,2016-05-27T20:50:00,
PS1601,R/V Pacific Storm,2016-01-21T01:30:00,2016-01-21T01:30:00,
PS1606,R/V Pacific Storm,2016-06-16T00:00:00,2016-06-16T23:59:59,Endurance CE01ISSP
PS1501,R/V Pacific Storm,2015-01-21T20:28:00,2015-01-21T22:02:00,Endurance GL info
PS1508,R/V Pacific Storm,2015-08-13T21:09:00,2015-08-13T21:09:00,Endurance GL info
PS1612,R/V Pacific Storm,2016-12-15T00:00:00,2016-12-15T00:00:00,Endurance Gliders
PS1701A,R/V Pacific Storm,2017-01-05T00:15:00,2017-01-07T00:30:00,Endurance CE02SHSP and Gliders
PS1705D,R/V Pacific Storm,2017-05-17T16:52:00,2017-05-19T18:01:00,CSPP and Glider operations
PS1708A,R/V Pacific Storm,2017-08-27T17:30:00,2017-08-31T21:30:00,Anchor ROV and Glider operations
PS1711A,R/V Pacific Storm,2017-11-17T00:00:00,2017-11-17T00:00:00,Glider Recovery
PS1712A,R/V Pacific Storm,2017-12-07T15:30:00,2017-12-09T16:00:00,CSPP and Glider operations
P6a,R/V Connecticut,2016-08-08T00:00:00,2016-08-10T23:59:59,Pioneer 6a
P5a,R/V Scarlett Isabella,2016-01-22T00:00:00,2016-01-28T23:59:59,Pioneer 5a
RB-16-05,R/V Ronald H. Brown,2016-06-23T00:00:00,2016-07-09T23:59:59,Papa 4 (rvdata)
SI-1507,R/V Scarlett Isabella,2015-07-22T00:00:00,2015-07-26T23:59:59,Pioneer 4a (rvdata)
SI-1501,R/V Scarlett Isabella,2015-01-10T00:00:00,2015-01-13T23:59:59,Pioneer 3a (rvdata)
SKQ201610S,R/V Sikuliaq,2016-07-12T00:00:00,2016-08-09T23:59:59,Cabled (rvdata)
TN-299,R/V Thomas G. Thompson,2013-06-30T00:00:00,2013-08-23T23:59:59,Cabled (rvdata)
TN-313,R/V Thomas G. Thompson,2014-07-13T00:00:00,2014-10-06T23:59:59,Cabled (rvdata)
TN-326,R/V Thomas G. Thompson,2015-07-04T00:00:00,2015-08-07T23:59:59,Cabled (rvdata)
TN-323,R/V Thomas G. Thompson,2015-05-29T00:00:00,2015-06-14T23:59:59,Papa 3 (rvdata)
TN-342,R/V Thomas G. Thompson,2016-05-04T00:00:00,2016-05-18T23:59:59,Endurance 5 (rvdata)
TN-330,R/V Thomas G. Thompson,2015-09-22T00:00:00,2015-09-27T23:59:59,Endurance 4a - recover (rvdata)
TY-1402,CCGS Tully,2014-02-20T00:00:00,2014-02-20T00:00:00,Papa GL info
