serial,name,value,notes
16P71174-7209,CC_a0,1.253857e-003,source_file 3305-00102-00087-A_SN_16P71174-7209_QCT_Results_Form_CTDBP-D.cap
16P71174-7209,CC_a1,2.739732e-004,
16P71174-7209,CC_a2,-9.551422e-007,
16P71174-7209,CC_a3,1.750128e-007,
16P71174-7209,CC_cpcor,-9.57E-08,
16P71174-7209,CC_ctcor,3.25E-06,
16P71174-7209,CC_g,-9.541443e-001,
16P71174-7209,CC_h,1.336263e-001,
16P71174-7209,CC_i,-3.821880e-004,
16P71174-7209,CC_j,4.517075e-005,
16P71174-7209,CC_pa0,1.248830e-001,
16P71174-7209,CC_pa1,1.540931e-003,
16P71174-7209,CC_pa2,4.883464e-012,
16P71174-7209,CC_ptca0,5.248753e+005,
16P71174-7209,CC_ptca1,8.041842e+000,
16P71174-7209,CC_ptca2,-2.018099e-001,
16P71174-7209,CC_ptcb0,2.510600e+001,
16P71174-7209,CC_ptcb1,-9.999999e-004,
16P71174-7209,CC_ptcb2,0,
16P71174-7209,CC_ptempa0,-6.057788e+001,
16P71174-7209,CC_ptempa1,5.275479e+001,
16P71174-7209,CC_ptempa2,-2.572663e-001,
